Index,Headline,category,section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_category_neighbor_ratio,same_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",news,world,203,Self-driving robotaxis are taking off in China - CNN,0.54822487,31,Ford will start shipping Explorers without all the parts -- and add them later - CNN,0.5088764,161,Opibus: The mobility startup converting Kenya to electric vehicles - CNN,0.46383876,32,Tesla's cruise control woes put damper on 'full self-driving' hopes  - CNN,0.42961693,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.42292857,0.4,0.0,0.4746971,0.42292857,0.54822487
2,Bioservo's robotic 'Ironhand' could protect factory workers from injuries - CNN,news,world,3,This swarm of robots gets smarter the more it works - CNN,0.41065657,2666,This 'nano factory' fits inside a shipping container  - CNN,0.40199935,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.3664747,49,"Electric robots are mapping the seafloor, Earth's last frontier - CNN",0.35442114,2121,Blake Leeper: Amputee's application to compete with running blades rejected - CNN,0.35301256,0.6,0.0,0.37731284,0.35301256,0.41065657
3,This swarm of robots gets smarter the more it works - CNN,news,asia,4490,Shelf-climbing robots are helping warehouses meet the holiday rush - CNN,0.5500834,203,Self-driving robotaxis are taking off in China - CNN,0.5385297,2666,This 'nano factory' fits inside a shipping container  - CNN,0.4458599,2,Bioservo's robotic 'Ironhand' could protect factory workers from injuries - CNN,0.41065657,0,"There's a shortage of truckers, but TuSimple thinks it has a solution: no driver needed - CNN",0.40322113,0.8,0.0,0.46967012,0.40322113,0.5500834
4,Russia is no longer an option for investors. These emerging markets are - CNN,business,investing,10,Russia could default on its debt within days - CNN,0.60107136,317,Premarket stocks: China's new Covid lockdowns are another threat to the economy - CNN,0.5742806,14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,0.5543885,18,Citi expands its exit from Russia - CNN,0.55364966,20,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,0.5339336,1.0,0.8,0.56346476,0.5339336,0.60107136
7,Russian energy investment ban part of new EU sanctions wave  - CNN,business,business,2594,Putin says US sanctions on Russia 'even did us good' - CNN,0.60855985,4273,EU slaps new sanctions on Belarus as NATO warns Russia over military buildup - CNN,0.57432294,41,Key supply of diamonds caught up in Russia sanctions - CNN,0.5685195,14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,0.53936994,108,Roman Abramovich: Death and destruction in Ukraine overshadows Russian oligarch's legacy at Chelsea - CNN,0.52311873,0.4,0.2,0.5627782,0.52311873,0.60855985
8,Anti-war protester interrupts live Russian state news broadcast to denounce invasion of Ukraine - CNN,business,media,208,China's promotion of Russian disinformation indicates where its loyalties lie - CNN,0.59341115,2157,Alexey Navalny: Protesters across Russia call for Navalny's release on same day as Putin's annual address - CNN,0.549581,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.5258923,3656,Ukrainian opposition demand investigation into failed sting operation detailed by CNN   - CNN,0.52047527,1444,Russia protests: Hundreds detained as rallies in support of Navalny sweep across Russia - CNN,0.5147988,0.0,0.0,0.5408317,0.5147988,0.59341115
9,Benjamin Hall: Fox News correspondent hospitalized after being injured in Ukraine - CNN,business,media,2552,"Trump administration was a 'difficult time' for Ukraine, says foreign minister - CNN",0.4811591,208,China's promotion of Russian disinformation indicates where its loyalties lie - CNN,0.4639098,3317,"Sarah Rainsford, the BBC's Moscow correspondent, says Russia told her to never return - CNN",0.45459324,2168,Ukraine's Zelensky invites Russia's Vladimir Putin to meet - CNN,0.45367146,937,"With war raging, this CNN Hero is racing to aid Ukraine's Holocaust survivors - CNN",0.45260018,0.0,0.0,0.46118674,0.45260018,0.4811591
10,Russia could default on its debt within days - CNN,business,investing,2594,Putin says US sanctions on Russia 'even did us good' - CNN,0.61420834,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.60107136,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.55569124,330,Conflict in Ukraine pushes mortgage rates lower - CNN,0.54607713,14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,0.52291036,0.8,0.4,0.5679917,0.52291036,0.61420834
12,Oil briefly tumbles below $100 a barrel. That's good news for gas prices - CNN,business,energy,350,Opinion: Soaring gas prices are hurting Americans. It's time for more stimulus checks - CNN,0.51225543,336,No end to America's rising prices: Another inflation measure rose in January - CNN,0.5072366,372,Opinion: Expect markets to be on a wild ride until the Fed really starts raising rates - CNN,0.4928875,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.46458805,335,"Prices may be rising, but Americans shopped more than expected in January - CNN",0.45556784,1.0,0.0,0.4865071,0.45556784,0.51225543
13,Russia may have found a buyer for its cheap oil: India - CNN,business,energy,166,"Higher food prices, slumping trade: How the war in Ukraine could hit Africa - CNN",0.5282918,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.52311826,45,"Wheat futures are soaring, and food prices could be next - CNN",0.49375862,3860,"Russia-Taliban talks: Taliban wins backing for aid at Moscow talks, with regional powers saying US and allies should pay - CNN",0.48687625,3817,How the West made the most dangerous version of Putin  - CNN,0.46483928,0.6,0.0,0.49937683,0.46483928,0.5282918
14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,business,investing,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.5543885,2594,Putin says US sanctions on Russia 'even did us good' - CNN,0.554212,7,Russian energy investment ban part of new EU sanctions wave  - CNN,0.53936994,199,Analysis: Japan's tough talk on Russia is really about China - CNN,0.533667,10,Russia could default on its debt within days - CNN,0.52291036,0.6,0.4,0.5409096,0.52291036,0.5543885
15,Why potassium iodide pills are suddenly in high demand  - CNN,business,business,202,Wildlife flourishing in uninhabited areas around Fukushima  - CNN,0.42238528,1171,Toxic tensions in the heart of 'Cancer Alley' - CNN,0.38636106,3555,"Alexander Litvinenko killing: Russia responsible for assassination, European court rules - CNN",0.36706442,1779,"What is Novichok, the rare nerve agent used in Russian spy attack  - CNN",0.36407316,43,"Ukraine halts half of world's neon output for chips, clouding outlook - CNN",0.3616929,0.2,0.0,0.38031536,0.3616929,0.42238528
16,Russian internet users are learning to beat Putin's internet crackdown - CNN,business,tech,20,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,0.76645344,1801,Analysis: Putin dismissed Navalny for years. Outrage over his jailing is now a big problem for the Kremlin - CNN,0.6003283,3343,Facebook removes Russian network that targeted influencers to peddle anti-vax messages - CNN,0.5936536,17,Meta says it doesn't allow calls for assassinating heads of state - CNN,0.5772167,753,Why Facebook's continuing Taliban ban should concern us all - CNN,0.5699842,0.4,0.4,0.62152725,0.5699842,0.76645344
17,Meta says it doesn't allow calls for assassinating heads of state - CNN,business,tech,16,Russian internet users are learning to beat Putin's internet crackdown - CNN,0.5772167,3343,Facebook removes Russian network that targeted influencers to peddle anti-vax messages - CNN,0.57137835,20,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,0.54667753,2855,"Putin signs law banning 'extremists' from running in elections, on Navalny's birthday - CNN",0.5383855,3541,Ukraine president's aide survives apparent assassination attempt - CNN,0.53612375,0.4,0.4,0.5539564,0.53612375,0.5772167
18,Citi expands its exit from Russia - CNN,business,investing,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.5536497,3766,Moscow launches fresh restrictions as Covid-19 deaths hit record high in Russia - CNN,0.47527736,19,Companies pulling back from Russia over the war in Ukraine - CNN,0.46621114,3838,Russia Covid: Moscow announces new lockdown as coronavirus crisis deepens - CNN,0.4399131,14,Japan orders crypto exchanges to comply with sanctions against Russia and Belarus - CNN,0.43609762,0.6,0.4,0.47422975,0.43609762,0.5536497
19,Companies pulling back from Russia over the war in Ukraine - CNN,business,business,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.50881267,18,Citi expands its exit from Russia - CNN,0.46621114,317,Premarket stocks: China's new Covid lockdowns are another threat to the economy - CNN,0.46380037,45,"Wheat futures are soaring, and food prices could be next - CNN",0.43749952,43,"Ukraine halts half of world's neon output for chips, clouding outlook - CNN",0.4337188,1.0,0.2,0.46200848,0.4337188,0.50881267
20,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,business,tech,16,Russian internet users are learning to beat Putin's internet crackdown - CNN,0.76645344,3343,Facebook removes Russian network that targeted influencers to peddle anti-vax messages - CNN,0.64871716,17,Meta says it doesn't allow calls for assassinating heads of state - CNN,0.54667753,753,Why Facebook's continuing Taliban ban should concern us all - CNN,0.53821146,4,Russia is no longer an option for investors. These emerging markets are - CNN,0.5339335,0.6,0.4,0.60679865,0.5339335,0.76645344
21,Britain's cost of living crisis is pushing millions to the brink  - CNN,business,business,350,Opinion: Soaring gas prices are hurting Americans. It's time for more stimulus checks - CNN,0.5364918,4024,"Inside Boris Johnson's post-Brexit bubble, where he's king of his party but cut off from reality - CNN",0.46762788,44,Soaring nickel prices could be the next major headache for automakers - CNN,0.45673198,344,Opinion: What Russia's invasion of Ukraine could mean for the US economic recovery - CNN,0.45647103,3459,Climate change: Australia's Scott Morrison under pressure as biggest state boosts targets - CNN,0.4511224,0.6,0.2,0.473689,0.4511224,0.5364918
23,Starbucks is planning to phase out its iconic cups - CNN,business,business-food,182,Ghana: How these companies going green could pay off for the country and the planet - CNN,0.41036272,1634,Forest Green Rovers hope recycled coffee kit will prove a good fit - CNN,0.38052666,2737,Paul Pogba follows Cristiano Ronaldo's lead by removing display drink during a press conference - CNN,0.35378325,1028,Ethiopia - a land where coffee meets tradition - CNN,0.34916162,3973,France to ban plastic packaging for fruit and vegetables from January  - CNN,0.3379267,0.0,0.0,0.36635217,0.3379267,0.41036272
24,"Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN",business,economy,335,"Prices may be rising, but Americans shopped more than expected in January - CNN",0.60116637,317,Premarket stocks: China's new Covid lockdowns are another threat to the economy - CNN,0.57587767,373,Opinion: Why inflation is about to peak - CNN,0.52923805,336,No end to America's rising prices: Another inflation measure rose in January - CNN,0.5214865,352,Opinion: The labor shortage could lead to a recession next year - CNN,0.50218546,1.0,0.4,0.5459908,0.50218546,0.60116637
25,Hong Kong Covid divide: Expats get more perks while domestic workers lose their homes - CNN,business,business,210,Hong Kong's outbreak shows the limits of zero-Covid -- but the government isn't budging - CNN,0.5992451,1769,"Britain is under lockdown. But one year into the Covid crisis, many are unable to keep to the rules. - CNN",0.5753267,1371,Vaccine rollout stumbles as a 'Hunger Games' approach leaves states and counties to fend for themselves  - CNN,0.5136266,3979,Australia Covid-19: Sydney is reopening and starting to live with coronavirus on 'Freedom Day' - CNN,0.5039065,1363,Government action took months as nursing home workers died during the pandemic - CNN,0.4572382,0.0,0.0,0.5298686,0.4572382,0.5992451
26,Shenzhen lockdown: Foxconn halts operations as Covid hits tech hub - CNN,business,tech,317,Premarket stocks: China's new Covid lockdowns are another threat to the economy - CNN,0.7366016,210,Hong Kong's outbreak shows the limits of zero-Covid -- but the government isn't budging - CNN,0.57545114,4485,Winter Olympics: China admits Beijing 2022 could bring Covid-19 cases  - CNN,0.5018213,2639,Sydney lockdown: Australia's biggest city heading into two-week hard lockdown to contain Delta coronavirus outbreak - CNN,0.49832386,24,"Economic growth in 2022: China had a surprisingly good start, but it may not last - CNN",0.48991883,0.4,0.0,0.5604234,0.48991883,0.7366016
27,US economy flashes a recession warning sign - CNN,business,economy,352,Opinion: The labor shortage could lead to a recession next year - CNN,0.5702345,372,Opinion: Expect markets to be on a wild ride until the Fed really starts raising rates - CNN,0.5422512,228,Don't expect the Fed to slow rate hikes just because of the midterms   - CNN,0.46979523,334,Mortgage rates jump to nearly 4% - CNN,0.46312714,326,Mortgages rates are on the rise again amid inflation fears - CNN,0.44925338,1.0,0.2,0.49893227,0.44925338,0.5702345
