dataset,label_definition,class,article_count,mean_neighbor_agreement,median_neighbor_agreement,mean_cosine_similarity
training_label_comparison,original_category,business,83,0.5277108433734939,0.6,0.4898059666156769
training_label_comparison,original_category,entertainment,46,0.32608695652173914,0.2,0.396198570728302
training_label_comparison,original_category,health,42,0.23809523809523808,0.2,0.4679279327392578
training_label_comparison,original_category,news,1289,0.9090768037238167,1.0,0.5823439359664917
training_label_comparison,original_category,politics,60,0.7599999999999999,1.0,0.5612395405769348
training_label_comparison,original_category,sport,1740,0.9728735632183908,1.0,0.630465030670166
training_label_comparison,llm_category,business,111,0.4864864864864864,0.4,0.4982752501964569
training_label_comparison,llm_category,entertainment,227,0.2784140969162996,0.2,0.490398108959198
training_label_comparison,llm_category,health,258,0.46124031007751937,0.4,0.5797677040100098
training_label_comparison,llm_category,news,817,0.5456548347613219,0.6,0.581464409828186
training_label_comparison,llm_category,politics,552,0.6409420289855071,0.8,0.6063607931137085
training_label_comparison,llm_category,sport,1295,0.863011583011583,1.0,0.6439229846000671
training_label_comparison,original_section,africa,40,0.6599999999999999,0.6,0.563524603843689
training_label_comparison,original_section,americas,3,0.06666666666666667,0.0,0.449533075094223
training_label_comparison,original_section,asia,7,0.028571428571428574,0.0,0.4495619237422943
training_label_comparison,original_section,australia,83,0.7831325301204819,1.0,0.595866858959198
training_label_comparison,original_section,business,15,0.18666666666666668,0.2,0.49073657393455505
training_label_comparison,original_section,business-food,1,0.0,0.0,0.3311484456062317
training_label_comparison,original_section,business-money,1,0.0,0.0,0.2836160659790039
training_label_comparison,original_section,cars,1,0.0,0.0,0.4020361304283142
training_label_comparison,original_section,celebrities,1,0.0,0.0,0.5610123872756958
training_label_comparison,original_section,china,4,0.05,0.0,0.6295819878578186
training_label_comparison,original_section,economy,7,0.22857142857142856,0.2,0.5482128262519836
training_label_comparison,original_section,energy,3,0.0,0.0,0.4495377838611603
training_label_comparison,original_section,entertainment,45,0.3333333333333333,0.2,0.39253607392311096
training_label_comparison,original_section,europe,641,0.7850234009360374,1.0,0.5903301239013672
training_label_comparison,original_section,football,502,0.8952191235059761,1.0,0.642160952091217
training_label_comparison,original_section,golf,147,0.9088435374149662,1.0,0.6046140789985657
training_label_comparison,original_section,health,42,0.23809523809523808,0.2,0.4679279327392578
training_label_comparison,original_section,homes,6,0.5,0.5,0.5938138961791992
training_label_comparison,original_section,india,1,0.0,0.0,0.4820486903190613
training_label_comparison,original_section,investing,8,0.4,0.4,0.5281904935836792
training_label_comparison,original_section,living,6,0.0,0.0,0.3338080644607544
training_label_comparison,original_section,media,1,0.0,0.0,0.4542248845100403
training_label_comparison,original_section,middleeast,5,0.04,0.0,0.4996459484100342
training_label_comparison,original_section,motorsport,76,0.8078947368421052,1.0,0.6400145888328552
training_label_comparison,original_section,opinions,32,0.48124999999999996,0.6,0.5766780972480774
training_label_comparison,original_section,perspectives,20,0.3,0.2,0.48883575201034546
training_label_comparison,original_section,politics,60,0.7599999999999999,1.0,0.5612395405769348
training_label_comparison,original_section,sport,851,0.863689776733255,1.0,0.6128892302513123
training_label_comparison,original_section,success,6,0.13333333333333333,0.1,0.33336445689201355
training_label_comparison,original_section,tech,14,0.09999999999999999,0.0,0.505029022693634
training_label_comparison,original_section,tennis,164,0.8707317073170733,1.0,0.70461106300354
training_label_comparison,original_section,uk,302,0.7218543046357616,0.8,0.6262548565864563
training_label_comparison,original_section,us,112,0.47500000000000003,0.4,0.49260765314102173
training_label_comparison,original_section,weather,17,0.6705882352941177,0.8,0.5052644610404968
training_label_comparison,original_section,world,36,0.17222222222222222,0.2,0.46946197748184204
training_label_comparison,llm_section,africa,16,0.125,0.0,0.5333036184310913
training_label_comparison,llm_section,americas,12,0.06666666666666667,0.0,0.49706342816352844
training_label_comparison,llm_section,asia,85,0.33176470588235296,0.4,0.614471971988678
training_label_comparison,llm_section,australia,57,0.48070175438596496,0.4,0.5923413634300232
training_label_comparison,llm_section,business,89,0.39550561797752815,0.4,0.5002659559249878
training_label_comparison,llm_section,business-food,2,0.0,0.0,0.3806022107601166
training_label_comparison,llm_section,business-money,16,0.1,0.0,0.4898902177810669
training_label_comparison,llm_section,celebrities,166,0.21445783132530122,0.2,0.5117889642715454
training_label_comparison,llm_section,china,11,0.18181818181818182,0.2,0.7464136481285095
training_label_comparison,llm_section,economy,1,0.0,0.0,0.5917719006538391
training_label_comparison,llm_section,energy,1,0.0,0.0,0.4313851296901703
training_label_comparison,llm_section,entertainment,1,0.0,0.0,0.3648203909397125
training_label_comparison,llm_section,europe,170,0.4329411764705882,0.4,0.5867840647697449
training_label_comparison,llm_section,football,985,0.7689340101522842,0.8,0.6447576880455017
training_label_comparison,llm_section,golf,70,0.43142857142857144,0.4,0.608713686466217
training_label_comparison,llm_section,health,258,0.46124031007751937,0.4,0.5797677040100098
training_label_comparison,llm_section,homes,2,0.2,0.2,0.5811370611190796
training_label_comparison,llm_section,india,2,0.1,0.1,0.6042083501815796
training_label_comparison,llm_section,intl_world,2,0.0,0.0,0.5711976885795593
training_label_comparison,llm_section,living,2,0.0,0.0,0.4160679578781128
training_label_comparison,llm_section,middleeast,79,0.1772151898734177,0.2,0.5797950625419617
training_label_comparison,llm_section,motorsport,9,0.15555555555555556,0.2,0.6515091061592102
training_label_comparison,llm_section,movies,60,0.17,0.0,0.433309942483902
training_label_comparison,llm_section,opinions,7,0.17142857142857146,0.0,0.6121352910995483
training_label_comparison,llm_section,politics,552,0.6409420289855071,0.8,0.6063607931137085
training_label_comparison,llm_section,sport,188,0.36808510638297876,0.4,0.6387390494346619
training_label_comparison,llm_section,tennis,43,0.2976744186046511,0.4,0.7031980156898499
training_label_comparison,llm_section,uk,120,0.42833333333333334,0.4,0.6091944575309753
