Index,Headline,original_category,llm_category,original_section,llm_section,neighbor_1_index,neighbor_1_headline,neighbor_1_similarity,neighbor_2_index,neighbor_2_headline,neighbor_2_similarity,neighbor_3_index,neighbor_3_headline,neighbor_3_similarity,neighbor_4_index,neighbor_4_headline,neighbor_4_similarity,neighbor_5_index,neighbor_5_headline,neighbor_5_similarity,same_original_category_neighbor_ratio,same_llm_category_neighbor_ratio,same_original_section_neighbor_ratio,same_llm_section_neighbor_ratio,mean_neighbor_similarity,minimum_neighbor_similarity,maximum_neighbor_similarity
2149,Barack and Michelle Obama: Valentino Dixon was convicted for a crime he didn't commit; now he's selling art to the Obamas - CNN,sport,news,golf,us,2267,The Masters: Abraham Ancer 'gutted' after two-stroke penalty for inadvertent bunker error - CNN,0.51191074,2433,"Y.E. Yang, the man who beat Tiger Woods to win the 2009 PGA Championship, is disqualified - CNN",0.4976766,591,Charlie Sifford: golf's first Black professional who paved the way for Tiger Woods - CNN,0.4908657,2438,Sebastián Muñoz hits golf ball into trash can during PGA Championship - CNN,0.48303437,2439,John Daly leads 2021 PGA Championship for brief moment - CNN,0.46935654,1.0,0.2,1.0,0.2,0.4905688,0.46935654,0.51191074
4313,Andy Murray reaches Stockholm Open quarterfinal - CNN,sport,sport,tennis,football,2746,Emotional Andy Murray breaks down following winning return to Queen's Club - CNN,0.71721256,3724,Andy Murray says he 'lost respect' for Stefanos Tsitsipas after first round US Open defeat - CNN,0.66600347,3113,Novak Djokovic reaches Wimbledon final after beating Denis Shapovalov - CNN,0.58102083,1981,Andy Murray pulls out of Dubai Open after arrival of fourth child - CNN,0.5789577,3717,Stefanos Tsitsipas is booed at the US Open after taking another lengthy toilet break - CNN,0.56162,1.0,1.0,1.0,0.6,0.6209629,0.56162,0.71721256
3071,Climate change: EU unveils ambitious package as it cools on fossil fuels - CNN,news,news,europe,europe,2615,Climate change: European Union enshrines net zero and emissions targets into law - CNN,0.68943495,883,COP21: We have a Paris climate agreement. Now what?  - CNN,0.58762085,3807,COP26 flop? Covid looms over crucial climate talks as some key leaders snub the event - CNN,0.57324255,3976,Carbon emissions: Australia's energy minister dismisses call for tougher limits on polluters - CNN,0.56268793,3026,John Kerry warns 'time is running out' to address climate crisis - CNN,0.53222615,1.0,0.6,0.2,0.2,0.5890425,0.53222615,0.68943495
1462,"Inauguration cool: Forget the outfits, everyone is talking about the kicks - CNN",sport,entertainment,sport,celebrities,1481,"World leaders welcome Biden with praise, pleas, and parting shots at Trump - CNN",0.46662956,1455,LeBron James says 'it would be great' for LA Lakers to visit the White House - CNN,0.45983255,2785,What to do -- and not do -- when you meet the Queen - CNN,0.45619375,895,Climate change: 'The shoes are marching for us' - CNN,0.44955587,3204,"Paralympian says he had to be pulled through White House kitchen lift because ""they didn't have an elevator"" - CNN",0.4276607,0.4,0.2,0.4,0.2,0.45197448,0.4276607,0.46662956
1665,"Caught in a vaccine no man's land, these European countries are scrambling for Chinese and Russian shots - CNN",news,politics,europe,politics,4078,Vaccine hesitancy: These EU nations are still miles behind their neighbors - CNN,0.77547914,2339,WHO says Europe's vaccine rollout 'unacceptably slow' amid 'worrying' surge - CNN,0.71897364,2064,"Europe's unified vaccination strategy is splintering as nations turn to Israel, China and Russia for help - CNN",0.71022797,4703,Making Covid-19 vaccines mandatory was once unthinkable. But European countries are showing it can work - CNN,0.6801832,1631,"Boris Johnson's vaccine strategy gets another boost, while Europe's scramble for shots continues - CNN",0.66968596,1.0,0.4,0.8,0.4,0.71090996,0.66968596,0.77547914
3174,Tokyo 2020: Two Namibian Olympic medal contenders ruled ineligible for women's 400m due to naturally high testosterone levels - CNN,sport,sport,sport,football,1613,Caster Semenya appeals to European Court of Human Rights over 'discriminatory' testosterone limit - CNN,0.650603,3041,"Laurel Hubbard: IOC backs transgender weightlifter's selection for Tokyo, says to review rules later - CNN",0.57000357,2931,There may be more Olympians who identify as LGBTQ than ever before. But there are limits to inclusion  - CNN,0.5601436,3434,Laurel Hubbard becomes first ​out transgender woman to compete at the Olympics - CNN,0.5561339,2647,CeCe Telfer: Transgender woman ruled ineligible to run in US Olympic Trials - CNN,0.5519929,1.0,0.4,1.0,0.0,0.57777536,0.5519929,0.650603
2060,Meghan accuses royal family of 'perpetuating falsehoods' against her and Harry - CNN,news,politics,europe,politics,1961,"Meghan, Duchess of Sussex: Royals hire external law firm to investigate bullying claims - CNN",0.7821784,1976,Meghan and Harry feel wronged by the palace. But they can only seek justice in the court of public opinion - CNN,0.7480745,2053,"Buckingham Palace to investigate allegations that Meghan, Duchess of Sussex, bullied UK staff - CNN",0.74076647,2048,Meghan and Harry steal the show before Oprah interview is even aired - CNN,0.7249392,1964,11 things we learned from Meghan and Harry's interview - CNN,0.7064227,1.0,0.6,0.0,0.6,0.7404763,0.7064227,0.7821784
4156,UK lawmaker Stella Creasy reprimanded for bringing baby to work - CNN,news,politics,uk,politics,3926,British lawmakers face risks when working with the public - CNN,0.44323385,2474,Let's talk about the Crown - CNN,0.403844,4076,Mark Clattenburg: Former Premier League referee criticized for 'outdated' comments on female referees - CNN,0.40067822,1530,"Ireland's mother and baby homes: 9,000 babies and children died in 18 mother and baby homes, report says - CNN",0.39298677,2586,Princess Charlotte: William and Kate release photo of their daughter for her sixth birthday - CNN,0.38877094,0.8,0.4,0.6,0.4,0.40590277,0.38877094,0.44323385
1756,Lewis Hamilton and Mercedes agree one-year deal with joint commitment for 'greater diversity and inclusion' - CNN,sport,sport,sport,football,3178,Lewis Hamilton extends Mercedes contract to 2023 - CNN,0.9268141,677,Lewis Hamilton equals Michael Schumacher's record of seven world titles - CNN,0.77616894,129,Lewis Hamilton plays down hopes of starting F1 season with a win - CNN,0.75736105,2580,F1 results: Lewis Hamilton wins Portuguese Grand Prix to secure 97th career race victory - CNN,0.7118193,689,Lewis Hamilton pays tribute to Chadwick Boseman after F1 Belgian GP win - CNN,0.70231265,1.0,1.0,0.0,0.8,0.77489525,0.70231265,0.9268141
1955,"Primoz Roglic: Cyclist crashes twice, suffers a dislocated shoulder, loses race lead, but still finishes - CNN",sport,sport,sport,sport,3047,Tadej Pogacar: Slovenian cycling sensation clinches second Tour de France victory - CNN,0.6244916,4052,Paris-Roubaix: Italian Sonny Colbrelli wins epic race - CNN,0.55702174,2642,Tour de France: Fan holding sign causes huge crash - CNN,0.5474043,693,Brad Binder: Cheating death and creating MotoGP history - CNN,0.5280117,2598,Tour de France crash: Woman who allegedly caused crash arrested - CNN,0.5264446,1.0,1.0,0.8,0.2,0.55667484,0.5264446,0.6244916
208,China's promotion of Russian disinformation indicates where its loyalties lie - CNN,news,politics,china,politics,199,Analysis: Japan's tough talk on Russia is really about China - CNN,0.67342305,209,China can't do much to help Russia's sanction-hit economy - CNN,0.63874865,4598,Russia's Vladimir Putin told Biden he would 'really like' to meet - CNN,0.59763753,4662,"Oleksiy Reznikov, Ukraine's defense minister warns there will be a 'bloody massacre' if Russia invades - CNN",0.59752357,1424,Beijing Olympics: The US has accused China of Xinjiang genocide. Will it now boycott the 2022 Games? - CNN,0.59288555,0.6,0.6,0.0,0.6,0.62004364,0.59288555,0.67342305
