Index,embedding_row,Category,Section,Headline,enhanced_text_characters,enhanced_text_words
2149,0,sport,golf,Barack and Michelle Obama: Valentino Dixon was convicted for a crime he didn't commit; now he's selling art to the Obamas - CNN,10739,1861
4313,1,sport,tennis,Andy Murray reaches Stockholm Open quarterfinal - CNN,1855,337
3071,2,news,europe,Climate change: EU unveils ambitious package as it cools on fossil fuels - CNN,7866,1267
1462,3,sport,sport,"Inauguration cool: Forget the outfits, everyone is talking about the kicks - CNN",2430,397
1665,4,news,europe,"Caught in a vaccine no man's land, these European countries are scrambling for Chinese and Russian shots - CNN",10515,1701
3174,5,sport,sport,Tokyo 2020: Two Namibian Olympic medal contenders ruled ineligible for women's 400m due to naturally high testosterone levels - CNN,2711,405
2060,6,news,europe,Meghan accuses royal family of 'perpetuating falsehoods' against her and Harry - CNN,3354,547
4156,7,news,uk,UK lawmaker Stella Creasy reprimanded for bringing baby to work - CNN,4969,839
1756,8,sport,sport,Lewis Hamilton and Mercedes agree one-year deal with joint commitment for 'greater diversity and inclusion' - CNN,2882,461
1955,9,sport,sport,"Primoz Roglic: Cyclist crashes twice, suffers a dislocated shoulder, loses race lead, but still finishes - CNN",2449,410
208,10,news,china,China's promotion of Russian disinformation indicates where its loyalties lie - CNN,17945,2801
4159,11,sport,football,Karim Benzema: Real Madrid star found guilty of complicity in attempted blackmail in sex tape case - CNN,2367,366
351,12,business,perspectives,Opinion: How we can solve the nation's affordable housing crisis - CNN,7972,1215
2682,13,news,uk,Britain has an education problem. Some lawmakers are reducing it to a debate on 'White Privilege' - CNN,6031,945
1587,14,news,europe,Norway landslide: rescuers continue their search for survivors days after tragedy struck - CNN,2531,421
3466,15,news,europe,La Palma volcano: Residents told to lock down as lava pours into sea - CNN,2668,458
3347,16,sport,sport,Neeraj Chopra's javelin victory delivers India its first Olympic gold medal in track and field - CNN,1672,284
881,17,news,opinions,COP21: Paris climate change deal is end of fossil fuels - CNN,6417,1066
4638,18,sport,football,"Sam Kerr: Chelsea star barges pitch invader to the ground, gets yellow card in Women's Champions League game - CNN",2137,376
4031,19,sport,football,Former NWSL coach called 'predator' as players speak out about sexual misconduct accusations  - CNN,5434,939
1552,20,sport,football,"Schalke vs. Hoffenheim: After 30 league games without a win, Bundesliga team stops the rot with 4-0 victory as Matthew Hoppe scores hat-trick - CNN",2529,403
3845,21,sport,sport,Tom Brady congratulates Aaron Rodgers for becoming 'shareholder of the Bears' after celebration saying he 'owned' them - CNN,2840,493
2168,22,news,europe,Ukraine's Zelensky invites Russia's Vladimir Putin to meet - CNN,3622,561
3975,23,sport,sport,Kyrie Irving 'will not play or practice' with the Brooklyn Nets due to vaccination status  - CNN,2814,482
1750,24,news,europe,European Space Agency hiring astronauts for first time in 11 years - CNN,2502,402
735,25,news,living,Deaf culture in an American deaf family - CNN,8111,1366
2977,26,sport,sport,Olympic protests are nearly as old as the Games themselves. So why are officials so hesitant to allow them? - CNN,10607,1727
133,27,sport,sport,Eileen Gu and Kamila Valieva became the teenage faces of Beijing 2022 under wildly contrasting circumstances - CNN,6531,1072
1145,28,health,health,"Raped and wed by 11, woman fights to end child marriage - CNN",21239,3713
108,29,sport,football,Roman Abramovich: Death and destruction in Ukraine overshadows Russian oligarch's legacy at Chelsea - CNN,12440,1987
2467,30,sport,football,Women's Champions League: Chelsea boss Emma Hayes says inspiring next generation is as important as trophy - CNN,4926,843
1215,31,health,health,The forgotten victims of gun violence - CNN,29732,5263
1746,32,news,europe,"Europe's oldest person, a 116-year-old French nun, survives Covid-19 - CNN",2550,420
2754,33,sport,sport,Shelby Houlihan believes burrito led to false positive steroid test that caused ban from running - CNN,5044,849
3114,34,sport,tennis,Matteo Berrettini beats Hubert Hurkacz to become first Italian man to reach a Wimbledon final - CNN,5219,926
1613,35,sport,sport,Caster Semenya appeals to European Court of Human Rights over 'discriminatory' testosterone limit - CNN,3724,578
2742,36,news,uk,"Boris Johnson described his health secretary as 'hopeless,' Dominic Cummings says - CNN",5341,836
1073,37,news,europe,Why Francis and Benedict won't answer the accusations dividing their church - CNN,14748,2348
2798,38,sport,football,"Viktor Orban: Taking knee is 'provocation', 'has no place on pitch' - CNN",2670,421
2539,39,sport,football,Arsenal's Europa League exit an 'embarrassment' as club lurches towards yet another crisis  - CNN,3174,543
1466,40,news,europe,European countries mandate medical-grade masks over cloth face coverings - CNN,6858,1060
1755,41,news,europe,Adam Traoré: New medical report may shed light on Frenchman's death in police custody - CNN,2704,433
3180,42,news,uk,Harry and William are working together again - CNN,12245,2046
3929,43,sport,sport,South Korean speed skater Shim Suk-hee barred from training following leaked text messages - CNN,7171,1153
1317,44,news,us,Report found Surfside condo association was deeply underfunded as repair bills piled up - CNN,6875,1087
431,45,entertainment,entertainment,Pete Davidson in talks to head to space on Jeff Bezos' Blue Origin - CNN,1099,185
2132,46,sport,football,"Manchester City beats Tottenham Hotspur, clinches fourth consecutive League Cup title in front of fans  - CNN",4135,692
1530,47,news,europe,"Ireland's mother and baby homes: 9,000 babies and children died in 18 mother and baby homes, report says - CNN",14868,2396
12,48,business,energy,Oil briefly tumbles below $100 a barrel. That's good news for gas prices - CNN,3966,655
236,49,politics,politics,The biggest 2022 upset no one is talking about  - CNNPolitics,3348,525
3791,50,sport,golf,'Celebrity' golf coach Federico Alba reveals hidden life of Sicily - CNN,5887,1032
2835,51,news,europe,"Convicted for 'advertising' abortion, German doctors are fighting to share the facts - CNN",8649,1392
4532,52,news,uk,"House fire in Sutton, London: Two sets of twin boys die after being left home alone  - CNN",1882,319
4696,53,sport,tennis,"Peng Shuai 'reconfirms' she is safe and well in second call with IOC, says Olympic organization - CNN",8794,1437
1439,54,sport,tennis,Rafael Nadal calls for 'wider perspective' from players in quarantine ahead of the Australian Open - CNN,6956,1168
2757,55,news,europe,Hungary's parliament passes anti-LGBT law ahead of 2022 election - CNN,2767,394
2019,56,news,uk,The racism Meghan says she experienced in the British royal family is reflective of wider society.  - CNN,7245,1240
4250,57,news,europe,EU court rules against Poland over judicial appointments - CNN,1495,235
1767,58,sport,tennis,"Australian Open: Serena Williams, Rafael Nadal target grand slam records  - CNN",6403,1068
3340,59,news,europe,"Russia helicopter crash: Eight feared dead in Kamchatka peninsula
 - CNN",2085,339
3547,60,news,europe,UNGA: Submarine spat with France casts shadow over Biden's address - CNN,4254,690
2613,61,news,australia,Australia Covid-19: Perth and Brisbane lock down in fight against Delta variant - CNN,3656,562
4184,62,news,europe,Violent clashes erupt during anti-lockdown demonstrations in Europe  - CNN,3414,507
2341,63,news,uk,British police officer convicted of membership of neo-Nazi organization - CNN,2308,373
4311,64,sport,sport,"Minnesota Vikings vaccinated player was rushed to ER with Covid-19 symptoms, coach says - CNN",1489,233
1401,65,news,europe,Analysis: The EU and UK's fight reveals the ugly truth about vaccine nationalism - CNN,13568,2224
2438,66,sport,golf,Sebastián Muñoz hits golf ball into trash can during PGA Championship - CNN,1523,274
4236,67,sport,football,Lilian Thuram: World Cup winner urges players to walk off pitch if racially abused  - CNN,6944,1144
1448,68,sport,sport,UFC 257 results: Dustin Poirier defeats Conor McGregor with a knockout in the 2nd round  - CNN,2456,417
3293,69,sport,football,Cristiano Ronaldo says he 'can't allow people to keep playing around with my name' - CNN,3934,652
3687,70,sport,tennis,Shelby Rogers: 'I'm going to have nine million death threats' - American braces for social media abuse after US Open loss - CNN,3152,539
3,71,news,asia,This swarm of robots gets smarter the more it works - CNN,3637,585
660,72,sport,sport,Sasha DiGiulian: US climber wants more women in climbing after being told 'little girls don't belong'  - CNN,10188,1717
2164,73,news,europe,The UK's space agency is hunting for 'moon trees' grown from seeds that went on the Apollo 14 lunar mission - CNN,5845,1006
693,74,sport,motorsport,Brad Binder: Cheating death and creating MotoGP history - CNN,6884,1195
20,75,business,tech,Why internet backbone services Cogent and Lumen are cutting off Russia  - CNN,4254,651
2772,76,sport,football,"Christian Eriksen suffered cardiac arrest during Euros match and 'was gone' before resuscitation, doctor says - CNN",5645,910
3586,77,sport,football,Tottenham to host world's first net zero carbon elite football game as sports teams turn to sustainable solutions - CNN,10785,1760
556,78,sport,football,Champions League: Tyler Adams helps fire RB Leipzig into semifinals  - CNN,2769,450
3045,79,sport,sport,Missing Ugandan Olympic hopeful left note saying he wants to work in Japan  - CNN,2387,400
4259,80,sport,tennis,'King Richard' portrays the power behind the Williams sisters' throne - CNN,2591,433
3094,81,sport,football,Euro 2020: Azzurri makes triumphant return to Italy - CNN,2848,443
220,82,politics,politics,Key dates for the 2022 midterm election - CNNPolitics,38939,6175
2842,83,news,europe,Norwegian police identify body of toddler who died crossing the English Channel - CNN,3075,507
3686,84,news,europe,Climate change: Europe had its hottest summer on record this year - CNN,9514,1539
4209,85,sport,sport,Pillow fighting enters combat sports arena: 'Don't get caught napping' - CNN,1787,290
