representation,target,label_source,label_source_display,model,model_display_name,training_classes,class_label,precision,recall,f1,support,seen_during_training
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,business,0.3269230769230769,0.8095238095238095,0.4657534246575342,21,True
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,entertainment,0.10416666666666667,0.8333333333333334,0.18518518518518517,12,True
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,health,0.04854368932038835,0.5,0.08849557522123894,10,True
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,news,0.6766467065868264,0.35093167701863354,0.4621676891615542,322,True
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,politics,0.0990990990990991,0.7333333333333333,0.1746031746031746,15,True
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,sport,0.9860627177700348,0.6490825688073395,0.7828492392807745,436,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,business,0.4838709677419355,0.7142857142857143,0.5769230769230769,21,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,entertainment,0.2,0.75,0.3157894736842105,12,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,health,0.08064516129032258,0.5,0.1388888888888889,10,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,news,0.6007604562737643,0.4906832298136646,0.5401709401709401,322,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,politics,0.1092436974789916,0.8666666666666667,0.19402985074626866,15,True
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,sport,0.9831081081081081,0.6674311926605505,0.7950819672131147,436,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,business,0.75,0.14285714285714285,0.24,21,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,entertainment,0.0,0.0,0.0,12,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,health,0.029411764705882353,0.1,0.045454545454545456,10,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,news,0.7896825396825397,0.6180124223602484,0.6933797909407665,322,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,politics,0.13793103448275862,0.8,0.23529411764705882,15,True
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,sport,0.9264367816091954,0.9243119266055045,0.9253731343283582,436,True
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,business,0.4444444444444444,0.7619047619047619,0.5614035087719298,21,True
