representation,target,label_source,label_source_display,model,model_display_name,training_classes,test_rows,training_class_count,evaluation_class_count,unseen_test_class_count,unseen_test_classes,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,prediction_time_seconds,predictions_per_second,model_path,classification_report_path,confusion_matrix_table_path,confusion_matrix_figure_path,status
Sentence-BERT,category,llm,LLM labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,816,6,6,0,,0.6985294117647058,0.6295110199378248,0.4642422420144586,0.6295110199378248,0.46486267206113957,0.8367633077208584,0.6985294117647058,0.7502629156729969,0.01027039997279644,79451.62818988229,models\sentence_bert\category\llm\xgboost.pkl,results\tables\sentence_bert\classification_reports\category_llm_xgboost.csv,results\tables\sentence_bert\confusion_matrices\category_llm_xgboost.csv,results\figures\sentence_bert\confusion_matrices\category_llm_xgboost.png,success
Sentence-BERT,category,llm,LLM labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,816,6,6,0,,0.6017156862745098,0.6648444672377661,0.4096047318155203,0.6648444672377661,0.42681403293774994,0.7807431365845049,0.6017156862745098,0.6627389404284789,0.0030964002944529057,263531.81837045937,models\sentence_bert\category\llm\neural_network.pkl,results\tables\sentence_bert\classification_reports\category_llm_neural_network.csv,results\tables\sentence_bert\confusion_matrices\category_llm_neural_network.csv,results\figures\sentence_bert\confusion_matrices\category_llm_neural_network.png,success
Sentence-BERT,category,llm,LLM labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,816,6,6,0,,0.5845588235294118,0.6521227863569307,0.403897063904252,0.6521227863569307,0.39411017639268886,0.8293575543308861,0.5845588235294118,0.6632529314930249,0.001368700060993433,596186.1354837151,models\sentence_bert\category\llm\svm.pkl,results\tables\sentence_bert\classification_reports\category_llm_svm.csv,results\tables\sentence_bert\confusion_matrices\category_llm_svm.csv,results\figures\sentence_bert\confusion_matrices\category_llm_svm.png,success
Sentence-BERT,category,llm,LLM labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,816,6,6,0,,0.5379901960784313,0.6460341203360749,0.37357365939434867,0.6460341203360749,0.359842381351577,0.8062388388036377,0.5379901960784313,0.6196658232202557,0.0017196000553667545,474528.9449446804,models\sentence_bert\category\llm\logistic.pkl,results\tables\sentence_bert\classification_reports\category_llm_logistic.csv,results\tables\sentence_bert\confusion_matrices\category_llm_logistic.csv,results\figures\sentence_bert\confusion_matrices\category_llm_logistic.png,success
Sentence-BERT,category,llm,LLM labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,816,6,6,0,,0.7573529411764706,0.4308635819704827,0.438910353413396,0.4308635819704827,0.3565835980617882,0.8288202177986363,0.7573529411764706,0.7791114417516449,0.05123209999874234,15927.514195592828,models\sentence_bert\category\llm\random_forest.pkl,results\tables\sentence_bert\classification_reports\category_llm_random_forest.csv,results\tables\sentence_bert\confusion_matrices\category_llm_random_forest.csv,results\figures\sentence_bert\confusion_matrices\category_llm_random_forest.png,success
Sentence-BERT,category,real,CNN labels,neural_network,Small Neural Network,business | entertainment | health | news | politics | sport,816,6,6,0,,0.9436274509803921,0.7380403125217644,0.8086897609098601,0.7380403125217644,0.7622280497280497,0.9427163325208072,0.9436274509803921,0.942000208850699,0.0032152999192476273,253786.58927436607,models\sentence_bert\category\real\neural_network.pkl,results\tables\sentence_bert\classification_reports\category_real_neural_network.csv,results\tables\sentence_bert\confusion_matrices\category_real_neural_network.csv,results\figures\sentence_bert\confusion_matrices\category_real_neural_network.png,success
Sentence-BERT,category,real,CNN labels,svm,Linear SVM,business | entertainment | health | news | politics | sport,816,6,6,0,,0.9399509803921569,0.767329889009187,0.7397609784310596,0.767329889009187,0.7496679483476942,0.9426676764944701,0.9399509803921569,0.9409461298186222,0.001445399597287178,564549.7629385832,models\sentence_bert\category\real\svm.pkl,results\tables\sentence_bert\classification_reports\category_real_svm.csv,results\tables\sentence_bert\confusion_matrices\category_real_svm.csv,results\figures\sentence_bert\confusion_matrices\category_real_svm.png,success
Sentence-BERT,category,real,CNN labels,logistic,Logistic Regression,business | entertainment | health | news | politics | sport,816,6,6,0,,0.9142156862745098,0.845571922426729,0.6747017003819309,0.845571922426729,0.7278828246701549,0.9391643995873359,0.9142156862745098,0.9233656929886539,0.0013552000746130943,602125.1144285582,models\sentence_bert\category\real\logistic.pkl,results\tables\sentence_bert\classification_reports\category_real_logistic.csv,results\tables\sentence_bert\confusion_matrices\category_real_logistic.csv,results\figures\sentence_bert\confusion_matrices\category_real_logistic.png,success
Sentence-BERT,category,real,CNN labels,xgboost,XGBoost,business | entertainment | health | news | politics | sport,816,6,6,0,,0.9264705882352942,0.5390226413660798,0.7932579822182907,0.5390226413660798,0.590580990884202,0.9182746536705617,0.9264705882352942,0.9114773791042283,0.005337900016456842,152869.10535683643,models\sentence_bert\category\real\xgboost.pkl,results\tables\sentence_bert\classification_reports\category_real_xgboost.csv,results\tables\sentence_bert\confusion_matrices\category_real_xgboost.csv,results\figures\sentence_bert\confusion_matrices\category_real_xgboost.png,success
Sentence-BERT,category,real,CNN labels,random_forest,Random Forest,business | entertainment | health | news | politics | sport,816,6,6,0,,0.9068627450980392,0.367337961643905,0.46719150404100135,0.367337961643905,0.38142345990245136,0.8613529237833514,0.9068627450980392,0.8790461705355128,0.050355199724435806,16204.880617403662,models\sentence_bert\category\real\random_forest.pkl,results\tables\sentence_bert\classification_reports\category_real_random_forest.csv,results\tables\sentence_bert\confusion_matrices\category_real_random_forest.csv,results\figures\sentence_bert\confusion_matrices\category_real_random_forest.png,success
