representation,target,label_source,model,model_display_name,training_rows,embedding_dimension,observed_classes,class_labels,training_time_seconds,model_path,status
Sentence-BERT,category,real,logistic,Logistic Regression,3260,384,6,business | entertainment | health | news | politics | sport,0.13453639997169375,models\sentence_bert\category\real\logistic.pkl,success
Sentence-BERT,category,real,svm,Linear SVM,3260,384,6,business | entertainment | health | news | politics | sport,0.17295049969106913,models\sentence_bert\category\real\svm.pkl,success
Sentence-BERT,category,real,random_forest,Random Forest,3260,384,6,business | entertainment | health | news | politics | sport,1.7668717000633478,models\sentence_bert\category\real\random_forest.pkl,success
Sentence-BERT,category,real,xgboost,XGBoost,3260,384,6,business | entertainment | health | news | politics | sport,10.446225300431252,models\sentence_bert\category\real\xgboost.pkl,success
Sentence-BERT,category,real,neural_network,Small Neural Network,3260,384,6,business | entertainment | health | news | politics | sport,4.79434259980917,models\sentence_bert\category\real\neural_network.pkl,success
Sentence-BERT,category,llm,logistic,Logistic Regression,3260,384,6,business | entertainment | health | news | politics | sport,0.15980260027572513,models\sentence_bert\category\llm\logistic.pkl,success
Sentence-BERT,category,llm,svm,Linear SVM,3260,384,6,business | entertainment | health | news | politics | sport,0.7015742002986372,models\sentence_bert\category\llm\svm.pkl,success
Sentence-BERT,category,llm,random_forest,Random Forest,3260,384,6,business | entertainment | health | news | politics | sport,1.526471999939531,models\sentence_bert\category\llm\random_forest.pkl,success
Sentence-BERT,category,llm,xgboost,XGBoost,3260,384,6,business | entertainment | health | news | politics | sport,16.70598050020635,models\sentence_bert\category\llm\xgboost.pkl,success
Sentence-BERT,category,llm,neural_network,Small Neural Network,3260,384,6,business | entertainment | health | news | politics | sport,2.590870799962431,models\sentence_bert\category\llm\neural_network.pkl,success
Sentence-BERT,section,real,logistic,Logistic Regression,3260,384,35,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,0.19248449988663197,models\sentence_bert\section\real\logistic.pkl,success
Sentence-BERT,section,real,svm,Linear SVM,3260,384,35,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,0.8681562002748251,models\sentence_bert\section\real\svm.pkl,success
Sentence-BERT,section,real,random_forest,Random Forest,3260,384,35,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,4.978491600137204,models\sentence_bert\section\real\random_forest.pkl,success
Sentence-BERT,section,real,xgboost,XGBoost,3260,384,35,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,34.12745769973844,models\sentence_bert\section\real\xgboost.pkl,success
Sentence-BERT,section,real,neural_network,Small Neural Network,3260,384,35,africa | americas | asia | australia | business | business-food | business-money | cars | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | investing | living | media | middleeast | motorsport | opinions | perspectives | politics | sport | success | tech | tennis | uk | us | weather | world,4.770959099754691,models\sentence_bert\section\real\neural_network.pkl,success
Sentence-BERT,section,llm,logistic,Logistic Regression,3260,384,30,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,0.2106055999174714,models\sentence_bert\section\llm\logistic.pkl,success
Sentence-BERT,section,llm,svm,Linear SVM,3260,384,30,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,0.8680853000842035,models\sentence_bert\section\llm\svm.pkl,success
Sentence-BERT,section,llm,random_forest,Random Forest,3260,384,30,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,4.349163599777967,models\sentence_bert\section\llm\random_forest.pkl,success
Sentence-BERT,section,llm,xgboost,XGBoost,3260,384,30,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,39.822643499821424,models\sentence_bert\section\llm\xgboost.pkl,success
Sentence-BERT,section,llm,neural_network,Small Neural Network,3260,384,30,africa | americas | asia | australia | business | business-food | business-money | celebrities | china | economy | energy | entertainment | europe | football | golf | health | homes | india | intl_world | living | middleeast | motorsport | movies | opinions | politics | sport | tennis | uk | us | world,6.389842300210148,models\sentence_bert\section\llm\neural_network.pkl,success
